principal_id,tokens
grezh-o7bpw-6ak4x-o2yem-bpxhd-pvte5-j5qh2-kbyw2-f4qtm-d6tsz-3qe,11760.44871
imvrz-ljh7j-h5fhs-dwzdk-tlfvb-vyt4x-xblkq-beziz-mbnie-qkuop-bae,60611.54333
cp7ax-2fech-nbsya-266vi-t7gu3-mtrj5-uftph-h4tca-lxh3z-larum-dae,11760.44871
2ifct-vrahg-5k7cq-cs3wp-2xges-q7sp6-gxwqu-xpmw2-prkqj-s7bam-2ae,11760.44871
3kavk-2q5ve-7rpgk-ocfwu-7xwpd-x6lpe-pylbp-u5xaz-qbzrq-hoheu-lqe,11760.44871
ubk2a-oblc2-y73yu-huy6g-5tug4-p3ehj-wz7ky-56bhc-ojmpp-5qnbz-jqe,11760.44871
q2jwe-uqihw-ndqtv-gcsk4-4pk6k-2wcwz-2mwtd-qsj4d-vkwet-t4l3f-mqe,11760.44871
vdxqn-257q6-rg7lk-twcys-abwb4-jxrjm-lgeol-ie5li-txx3p-yja65-5ae,11760.44871
hzuvu-xjoet-o45zc-fkisg-vz64q-bvvrg-yerm2-zvgf6-oiqnb-vdl7s-uqe,11760.44871
h4syj-bprrm-7rkia-i3fzf-t7vsz-4sf3f-w4c6o-xra7b-v4zqf-blj4l-lae,11760.44871
ott55-3swmy-hder6-ggg6u-nwsuq-fq4vf-q65zn-jxmkv-cnnpr-amscu-qqe,11760.44871
j4ziw-rzwyr-lb7w5-yhtsd-wjn2p-52lf6-manwd-byn3r-5a4il-pykqi-zae,11760.44871
h7d6n-jjkdm-knx3s-z2xg3-bqlzo-e7fwt-gor5c-ztuoz-jyudo-cnze5-aqe,11760.44871
rndhu-lr6j2-3knar-2bdjt-rgmi5-c4ul4-fbxl3-zocad-nciuq-pggse-mqe,11760.44871
okswu-6a2qs-pjdhk-hbzvr-zkq5j-dlvjs-qjcql-6vk4c-kvkph-ld6pk-5qe,11760.44871
27qon-4pgua-iorp4-wtx4t-fq3ca-gc2q2-cuypn-vx3ar-4nhts-hycht-wqe,11760.44871
xbs3v-vqe5i-k7orx-ugmo5-roqp6-dvu7f-yysvm-5fos5-7k4aq-fhwwo-kae,11760.44871
nozvc-kmdlf-hzm4p-rdydh-qtvmz-qwsm6-iu2ze-rthc5-nvyrg-3kvlw-rae,80513.84114
nzwzd-suony-rq2v3-vlgih-yjzph-qv4kt-txr3t-oq3xr-m6xpm-mdlml-rqe,11760.44871
mnvnq-efqji-o25p7-3nnup-24hjf-bbukv-eyrdi-hrncq-zprr3-tktt6-aqe,11760.44871
7ofjf-xpqa2-yvugu-7t2f5-mwka7-4kv2h-5l2ky-umcax-q5mv5-ht27e-mae,11760.44871
q6327-52zbj-xyfmi-kfcam-kmdm4-bkzrm-6zmnf-kgdiu-fkitx-azd2m-2qe,11760.44871
wggia-xxgaw-i47pp-zld55-vnncg-f6fsr-sumve-4f3lh-tiucz-rtzqg-wqe,11760.44871
pqnvw-ov5oo-r2dde-azjgo-trsfi-42yhs-yqcpm-yqo4h-i32y7-pyovc-4qe,11760.44871
tmfi2-ihc4f-wphx3-suwje-cr2gq-sgk6n-bnzli-6joex-fouvx-vrjvb-gqe,11760.44871
sxvpx-2aqte-tqytv-b2yuv-bwvyf-dnexk-zqgn2-tqk2y-kznq4-t6dyu-pae,11760.44871
lbhis-pmrgk-uofes-3jkzw-kk32s-v2web-keu6p-t3st5-jbh6e-jjuz4-hae,11760.44871
gatmv-dxt2l-xbqwn-mgkhm-fipg5-dln5o-lfv5v-vcfwp-j73ei-jw2eo-fae,11760.44871
bnva6-w2lsm-krgox-taq7p-naoi2-jnmg7-6r3lk-7zrl6-rjpvb-gont2-fqe,11760.44871
rq2zq-lfyq5-giie3-4orr7-2pqzj-5rfyp-ebh7o-4axm2-sjezj-oaugh-5ae,11760.44871
klid5-cova4-lw62b-yfitn-t7rfj-cdmuv-btkru-vxty6-ob2n5-l4tfp-bae,11760.44871
zfewy-2uxev-7f7ma-lhrwx-pld44-5om7h-7ykmj-6ryul-rqme5-mbdfm-rae,11760.44871
cevfk-npo2e-bmc6f-dd4ms-uw5ql-ak46h-ywqh4-7hrxi-4fecs-din24-gqe,11760.44871
utcjz-ihfkc-3gpi4-bd3zi-7p2r2-p5sjs-hagx4-mra22-ueysk-k37c7-jae,11760.44871
34vmr-26fyb-okbzu-5ibb3-5gotg-ifrps-hpbxl-yjcth-xiuin-22asi-7qe,80513.84114
v2aol-q3pcq-on5fk-ydveb-p7u34-upncp-v2av6-fzfpe-s3vul-6i6fu-xqe,80513.84114
7jyk4-iov3v-lwkhq-tetey-uj7dn-d5y2x-hgaxp-54as2-r6f74-w6egw-qqe,80513.84114
siujn-6c3xw-jkjmf-xqmdo-bputg-k5xjk-osm7o-d2dxv-5hy7u-wanss-2ae,11760.44871
enkz6-6jlkg-noakc-gqamc-nctq3-kvwlw-uhefo-w3k2q-fgsvj-sn7td-lae,80513.84114
6sgfn-kfgva-2r2dt-ycxyx-4scpg-tole2-4urmq-wt2mp-kld5y-2hmg6-uae,11760.44871
ovdsc-yfxer-7tura-wmzch-lzyk5-i6xss-rqoln-lpy5z-dzt7c-l6xtb-aae,38899.94572
qbcl3-u5f37-5i5tr-wy3im-ii74r-qv2jl-ivf3f-irncr-b4ry4-ctyar-7qe,38899.94572
kvgpm-6k25w-vlzlk-glsia-7lzwb-sk5vo-7wkxd-bie2p-krxig-v433x-eae,38899.94572
